Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
289,Stob Coire an Laoigh,,Fort William to Loch Treig & Loch Leven,4A,1116,3661,56.810877,-4.884907,,
290,Stob Coire Easain,,Fort William to Loch Treig & Loch Leven,4A,1115,3658,56.818199,-4.77371,,
356,Stob Coire Sgriodain,,Loch Treig to Loch Ericht,4B,979,3212,56.831744,-4.694934,20/04/2025,Jo
390,A' Bhuidheanach Bheag,,Loch Ericht to Glen Tromie & Glen Garry,5B,936,3071,56.870342,-4.199001,19/08/2020,
386,A' Mharconaich,,Loch Ericht to Glen Tromie & Glen Garry,5A,973.2,3193,56.857002,-4.290668,19/08/2020,
383,Beinn Udlamain,,Loch Ericht to Glen Tromie & Glen Garry,5A,1010.2,3314,56.835444,-4.329976,19/08/2020,
389,Carn na Caim,,Loch Ericht to Glen Tromie & Glen Garry,5B,940.8,3087,56.911722,-4.174444,19/08/2020,
392,Geal-charn,,Loch Ericht to Glen Tromie & Glen Garry,5A,917.1,3009,56.874433,-4.304519,19/08/2020,
388,Meall Chuaich,,Loch Ericht to Glen Tromie & Glen Garry,5B,950.8,3119,56.96385,-4.112568,19/08/2020,
384,Sgairneach Mhor,,Loch Ericht to Glen Tromie & Glen Garry,5A,991.4,3253,56.828406,-4.298084,19/08/2020,
407,An Sgarsoch,,Glen Tromie to Glen Tilt,6A,1006.5,3302,56.932109,-3.754294,19/08/2020,
433,An Socach,,Pitlochry to Braemar & Blairgowrie,6B,942.8,3093,56.902007,-3.512431,19/08/2020,
422,Beinn a' Ghlo - Braigh Coire Chruinn-bhalgain,,Pitlochry to Braemar & Blairgowrie,6B,1070,3510,56.831101,-3.729489,,
429,Beinn a' Ghlo - Carn Liath,,Pitlochry to Braemar & Blairgowrie,6B,975.8,3201,56.80777,-3.74409,,
421,Beinn a' Ghlo - Carn nan Gabhar,,Pitlochry to Braemar & Blairgowrie,6B,1121.9,3681,56.839846,-3.688022,,
406,Beinn Dearg,,Glen Tromie to Glen Tilt,6A,1008.7,3309,56.877346,-3.883719,19/08/2020,
425,Beinn Iutharn Mhor,,Pitlochry to Braemar & Blairgowrie,6B,1045,3428,56.894994,-3.568229,19/08/2020,
409,Carn a' Chlamain,,Glen Tromie to Glen Tilt,6A,963.5,3161,56.860965,-3.779634,19/08/2020,
428,Carn a' Gheoidh,,Pitlochry to Braemar & Blairgowrie,6B,976.1,3202,56.873065,-3.466616,?,
408,Carn an Fhidhleir,,Glen Tromie to Glen Tilt,6A,994,3261,56.936029,-3.801535,19/08/2020,
426,Carn an Righ,,Pitlochry to Braemar & Blairgowrie,6B,1029,3376,56.876583,-3.595273,19/08/2020,
438,Carn Aosda,,Pitlochry to Braemar & Blairgowrie,6B,915.3,3003,56.895696,-3.423274,16/08/2020,
432,Carn Bhac,,Pitlochry to Braemar & Blairgowrie,6B,945.1,3101,56.930558,-3.560897,19/08/2020,
424,Glas Tulaichean,,Pitlochry to Braemar & Blairgowrie,6B,1051,3448,56.865757,-3.55818,19/08/2020,
435,The Cairnwell,,Pitlochry to Braemar & Blairgowrie,6B,933,3061,56.87952,-3.421215,16/08/2020,
