Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
351,Chno Dearg,,Loch Treig to Loch Ericht,4B,1046,3432,56.830077,-4.66083,x,
834,Ciste Dhubh,,Loch Duich to Cannich,11A,981.1,3219,57.199234,-5.209032,x,
1063,Cona' Mheall,,Loch Broom to Strath Oykel,15A,977.8,3208,57.791077,-4.903418,,
1184,Conival,,Scourie to Lairg,16E,987.6,3240,58.135689,-4.883497,x,
700,Creag a' Mhaim,,Glen Shiel to Loch Hourn and Loch Quoich,10A,946.2,3104,57.120971,-5.160048,x,
472,Creag Leacach,,Braemar to Montrose,7A,988.2,3242,56.85464,-3.387768,x,
658,Creag Meagaidh,,Loch Lochy to Loch Laggan,9C,1128.1,3701,56.952023,-4.602117,x,
148,Creag Mhor,,Glen Lyon to Glen Dochart & Loch Tay,2B,1046.8,3434,56.489519,-4.614038,,
708,Creag nan Damh,,Glen Shiel to Loch Hourn and Loch Quoich,10A,917.2,3009,57.147262,-5.33496,x,
367,Creag Pitridh,,Loch Treig to Loch Ericht,4B,924.5,3033,56.899712,-4.484972,x,
235,Creise,,Glen Etive to Glen Lochy,3C,1099.8,3608,56.614448,-4.871987,x,
30,Cruach Ardrain,,Loch Lomond to Strathyre,1C,1045.9,3431,56.356438,-4.576152,x,
539,Derry Cairngorm,,Cairngorms,8A,1155.8,3792,57.062801,-3.622004,x,
483,Driesh,,Braemar to Montrose,7A,947.6,3109,56.848003,-3.196539,x,
692,Druim Shionnach,,Glen Shiel to Loch Hourn and Loch Quoich,10A,985.2,3232,57.126794,-5.182841,x,
1068,Eididh nan Clach Geala,,Loch Broom to Strath Oykel,15A,927,3041,57.813492,-4.934218,x,
1050,Fionn Bheinn,,The Fannaichs,14B,933,3061,57.611148,-5.102696,x,
741,Gairich,,Knoydart to Glen Kingie,10B,919,3015,57.044879,-5.255827,x,
732,Garbh Chioch Mhor,,Knoydart to Glen Kingie,10B,1012.9,3323,57.008556,-5.444322,,
350,Geal Charn,,Loch Treig to Loch Ericht,4B,1049.7,3444,56.897763,-4.457236,,
624,Geal Charn,,Glen Albyn and the Monadh Liath,9B,926,3038,57.057427,-4.373589,x,
346,Geal-charn,,Loch Treig to Loch Ericht,4B,1132,3714,56.837827,-4.509693,x,
392,Geal-charn,,Loch Ericht to Glen Tromie & Glen Garry,5A,917.1,3009,56.874433,-4.304519,x,
245,Glas Bheinn Mhor,,Glen Etive to Glen Lochy,3C,997.7,3273,56.542434,-5.005252,,
461,Glas Maol,,Braemar to Montrose,7A,1067.7,3503,56.873068,-3.368237,x,
424,Glas Tulaichean,,Pitlochry to Braemar & Blairgowrie,6B,1051,3448,56.865757,-3.55818,x,
683,Gleouraich,,Glen Shiel to Loch Hourn and Loch Quoich,10A,1035,3396,57.097163,-5.238035,x,
773,Gulvain,,Mallaig to Fort William,10D,987,3238,56.936211,-5.284527,,
731,Ladhar Bheinn,,Knoydart to Glen Kingie,10B,1020,3346,57.075263,-5.591745,x,
954,Liathach - Mullach an Rathain,,Loch Torridon to Loch Maree,13A,1023.8,3359,57.560875,-5.492498,x,
953,Liathach - Spidean a' Choire Leith,,Loch Torridon to Loch Maree,13A,1054.8,3461,57.564197,-5.463609,x,
457,Lochnagar - Cac Carn Beag,,Braemar to Montrose,7A,1155.7,3792,56.960272,-3.245261,x,
739,Luinne Bheinn,,Knoydart to Glen Kingie,10B,938.6,3079,57.048325,-5.513607,x,
896,Lurg Mhor,,Kyle of Lochalsh to Garve,12A,987,3238,57.413091,-5.223666,,
804,Mam Sodhail,,Loch Duich to Cannich,11A,1179.4,3869,57.279801,-5.120267,x,
890,Maoile Lunndaidh,,Kyle of Lochalsh to Garve,12A,1004.9,3297,57.464477,-5.111002,,
982,Maol Chean-dearg,,Applecross to Achnasheen,13B,933,3061,57.491697,-5.465549,x,
693,Maol Chinn-dearg,,Glen Shiel to Loch Hourn and Loch Quoich,10A,980.3,3216,57.12756,-5.252651,x,
486,Mayar,,Braemar to Montrose,7A,928.6,3047,56.848936,-3.246316,x,
233,Meall a' Bhuiridh,,Glen Etive to Glen Lochy,3C,1107.9,3635,56.612216,-4.852159,x,
163,Meall a' Choire Leith,,Glen Lyon to Glen Dochart & Loch Tay,2B,925.6,3037,56.566312,-4.259617,x,
1049,Meall a' Chrasgaidh,,The Fannaichs,14B,934,3064,57.712866,-5.048742,x,
123,Meall Buidhe,,Loch Rannoch to Glen Lyon,2A,932.1,3058,56.617231,-4.448608,x,
737,Meall Buidhe,,Knoydart to Glen Kingie,10B,945.5,3102,57.031543,-5.546333,,
388,Meall Chuaich,,Loch Ericht to Glen Tromie & Glen Garry,5B,950.8,3119,56.96385,-4.112568,x,
146,Meall Corranaich,,Glen Lyon to Glen Dochart & Loch Tay,2B,1069,3507,56.540955,-4.25347,x,
118,Meall Garbh,,Loch Rannoch to Glen Lyon,2A,967.5,3174,56.637381,-4.207472,x,
143,Meall Garbh,,Glen Lyon to Glen Dochart & Loch Tay,2B,1123.1,3685,56.566131,-4.207698,x,
150,Meall Ghaordaidh,,Glen Lyon to Glen Dochart & Loch Tay,2B,1039.8,3411,56.525809,-4.416654,x,
158,Meall Glas,,Glen Lyon to Glen Dochart & Loch Tay,2B,959.3,3147,56.455711,-4.546837,x,
1047,Meall Gorm,,The Fannaichs,14B,949.7,3116,57.680837,-4.983801,x,
154,Meall Greigh,,Glen Lyon to Glen Dochart & Loch Tay,2B,1001,3284,56.567417,-4.159559,x,
115,Meall na Aighean,,Loch Rannoch to Glen Lyon,2A,981,3219,56.620627,-4.128741,x,
759,Meall na Teanga,,Loch Arkaig to Glen Moriston,10C,916.8,3008,56.989039,-4.930941,x,
1064,Meall nan Ceapraichean,,Loch Broom to Strath Oykel,15A,976.8,3205,57.798514,-4.934012,x,
258,Meall nan Eun,,Glen Etive to Glen Lochy,3C,928.1,3045,56.561176,-4.942926,,
149,Meall nan Tarmachan,,Glen Lyon to Glen Dochart & Loch Tay,2B,1043.6,3424,56.521673,-4.301344,x,
549,Monadh Mor,,Cairngorms,8A,1113,3652,57.0268,-3.75007,x,
899,Moruisg,,Kyle of Lochalsh to Garve,12A,925.7,3037,57.499712,-5.17063,x,
485,Mount Keen,,Braemar to Montrose,7B,939.4,3082,56.96976,-2.973622,x,
571,Mullach Clach a' Bhlair,,Cairngorms,8A,1019,3343,57.011879,-3.841271,x,
1007,Mullach Coire Mhic Fhearchair,,Loch Maree to Loch Broom,14A,1015.2,3331,57.708995,-5.271357,,
864,Mullach Fraoch-choire,,Glen Affric to Glen Moriston,11B,1100.9,3612,57.205388,-5.155637,x,
833,Mullach na Dheiragain,,Loch Duich to Cannich,11A,982,3222,57.283399,-5.186333,,
